	IWA ID	Category	Median Date	Median Data Value	Date Offset
284	4.A.1.a.1.I21	3	2007-06-01	17.58	2495 days 00:00:00.000000000
285	4.A.1.a.1.I21	3	2012-07-01	14.71	4352 days 00:00:00.000000000
286	4.A.1.a.1.I21	4	2007-06-01	16.64	2495 days 00:00:00.000000000
287	4.A.1.a.1.I21	4	2012-07-01	27.15	4352 days 00:00:00.000000000
288	4.A.1.a.1.I21	5	2007-06-01	28.92	2495 days 00:00:00.000000000
289	4.A.1.a.1.I21	5	2012-07-01	10.21	4352 days 00:00:00.000000000
290	4.A.1.a.1.I21	6	2007-06-01	11.08	2495 days 00:00:00.000000000
291	4.A.1.a.1.I21	6	2012-07-01	4.85	4352 days 00:00:00.000000000
292	4.A.1.a.1.I21	7	2007-06-01	8.53	2495 days 00:00:00.000000000
293	4.A.1.a.1.I21	7	2012-07-01	0.0	4352 days 00:00:00.000000000
294	4.A.1.a.1.I22	1	2006-12-01	2.96	2313 days 00:00:00.000000000
295	4.A.1.a.1.I22	1	2010-06-01	9.52	3591 days 00:00:00.000000000
296	4.A.1.a.1.I22	2	2006-12-01	21.39	2313 days 00:00:00.000000000
297	4.A.1.a.1.I22	2	2010-06-01	19.05	3591 days 00:00:00.000000000
298	4.A.1.a.1.I22	3	2006-12-01	21.42	2313 days 00:00:00.000000000
299	4.A.1.a.1.I22	3	2010-06-01	35.0	3591 days 00:00:00.000000000
300	4.A.1.a.1.I22	4	2006-12-01	18.1	2313 days 00:00:00.000000000
301	4.A.1.a.1.I22	4	2010-06-01	10.53	3591 days 00:00:00.000000000
302	4.A.1.a.1.I22	5	2006-12-01	22.865000000000002	2313 days 00:00:00.000000000
303	4.A.1.a.1.I22	5	2010-06-01	10.53	3591 days 00:00:00.000000000
304	4.A.1.a.1.I22	6	2006-12-01	6.91	2313 days 00:00:00.000000000
305	4.A.1.a.1.I22	6	2010-06-01	0.0	3591 days 00:00:00.000000000
306	4.A.1.a.1.I22	7	2006-12-01	3.05	2313 days 00:00:00.000000000
307	4.A.1.a.1.I22	7	2010-06-01	0.0	3591 days 00:00:00.000000000
308	4.A.1.a.1.I23	1	2007-06-01	2.97	2495 days 00:00:00.000000000
309	4.A.1.a.1.I23	1	2012-07-01	1.18	4352 days 00:00:00.000000000
310	4.A.1.a.1.I23	2	2007-06-01	9.03	2495 days 00:00:00.000000000
311	4.A.1.a.1.I23	2	2012-07-01	3.8600000000000003	4352 days 00:00:00.000000000
312	4.A.1.a.1.I23	3	2007-06-01	13.85	2495 days 00:00:00.000000000
313	4.A.1.a.1.I23	3	2012-07-01	11.2	4352 days 00:00:00.000000000
314	4.A.1.a.1.I23	4	2007-06-01	18.27	2495 days 00:00:00.000000000
315	4.A.1.a.1.I23	4	2012-07-01	16.95	4352 days 00:00:00.000000000
316	4.A.1.a.1.I23	5	2007-06-01	23.745	2495 days 00:00:00.000000000
317	4.A.1.a.1.I23	5	2012-07-01	18.31	4352 days 00:00:00.000000000
318	4.A.1.a.1.I23	6	2007-06-01	8.09	2495 days 00:00:00.000000000
319	4.A.1.a.1.I23	6	2012-07-01	11.47	4352 days 00:00:00.000000000
